source,geography,topic_group,metric
google_country,AU,bdsm_general,86.375
google_country,AU,otk,82.71428571428571
google_country,AU,impact_play,80.625
google_country,AU,spanking,73.625
google_country,AU,domestic_discipline,49.666666666666664
google_country,GB,adult_corporal_punishment,100
google_country,GB,impact_play,92
google_country,GB,bdsm_general,90.5
google_country,GB,otk,84.25
google_country,GB,spanking,78.58333333333333
google_country,GB,domestic_discipline,75
google_country,NZ,impact_play,75.5
google_country,NZ,bdsm_general,56.2
google_country,NZ,otk,37
google_country,NZ,spanking,29
google_country,NZ,adult_corporal_punishment,NA
google_country,US,adult_corporal_punishment,100
google_country,US,bdsm_general,81.11764705882354
google_country,US,otk,65.09803921568627
google_country,US,spanking,64.52816901408451
google_country,US,impact_play,44.90196078431372
google_country,US,domestic_discipline,20.8
